id,mark,name_en,name_ru,offset_x,offset_y
119,AREA_SLOVAKIA,Slovakia,Словакия,,
120,CITY_SOLOMONISLANDS,Solomon islands,Соломоновы Острова,,
121,AREA_SOMALIA,Somalia,Сомали,,-15
122,AREA_SOUTHAFRICA,South Africa,Южная Африка,-5,-20
123,AREA_SOUTHKOREA,South Korea,Южная Корея,,
124,AREA_SOUTHSUDAN,South Sudan,Южный Судан,,
125,AREA_SPAIN,Spain,Испания,10,-20
126,AREA_SRILANKA,Sri lanka,Шри-Ланка,,
127,AREA_THESUDAN,Sudan,Судан,,
128,AREA_SWEDEN,Sweden,Швеция,,
129,AREA_SWITZERLAND,Switzerland,Швейцария,,
130,AREA_SYRIA,Syria,Сирия,,
131,AREA_TAIWAN,Taiwan,Тайвань,,
132,AREA_TAJIKISTAN,Tajikistan,Таджикистан,,
133,AREA_TANZANIA,Tanzania,Танзания,,
134,AREA_THAILAND,Thailand,Таиланд,5,-5
135,AREA_TOGO,Togo,Того,,
136,AREA_TUNISIA,Tunisia,Тунис,-5,
137,AREA_TURKEY,Turkey,Турция,,
138,AREA_TURKMENISTAN,Turkmenistan,Туркмения,,
139,AREA_THEUNITEDARABEMIRATES,United Arab Emirates,Объединенные Арабские Эмираты,,5
140,AREA_THEUNITEDKINGDOM,United Kingdom,Соединенное Королевство,,
141,AREA_THEUNITEDSTATES,United States,Соединенные Штаты,20,20
142,AREA_UGANDA,Uganda,Уганда,,
143,AREA_THEUKRAINE,Ukraine,Украина,,
144,AREA_URUGUAY,Uruguay,Уругвай,,
145,AREA_UZBEKISTAN,Uzbekistan,Узбекистан,,
146,AREA_VENEZUELA,Venezuela,Венесуэла,,
147,AREA_VIETNAM,Vietnam,Вьетнам,,
148,AREA_YEMEN,Yemen,Йемен,,
149,AREA_ZAMBIA,Zambia,Замбия,-10,5
150,AREA_ZIMBABWE,Zimbabwe,Зимбабве,,
151,AREA_GUYANA,Guyana,Гайана,,
